t,target,theta,err,tau
1.7049999999999856,0.7853981633974483,0.6451888161967448,0.136508753803393,2.486853997678547
1.7099999999999855,0.7853981633974483,0.6414553832908626,0.14020934720070344,2.547211415687807
1.7149999999999854,0.7853981633974483,0.6376966359737712,0.14394278010658568,2.6071536503046566
1.7199999999999853,0.7853981633974483,0.6339200460303491,0.14770152742367704,2.666572589406113
1.7249999999999852,0.7853981633974483,0.6301330185814844,0.15147811736709915,2.725362553717143
1.729999999999985,0.7853981633974483,0.6263428790126627,0.15526514481596387,2.7834204661032196
1.734999999999985,0.7853981633974483,0.6225568602039974,0.15905528438478556,2.8406460140303853
1.739999999999985,0.7853981633974483,0.6187820900824321,0.16284130319345091,2.8969418049416085
1.7449999999999848,0.7853981633974483,0.6150255795161776,0.16661607331501616,2.952213514313072
1.7499999999999847,0.7853981633974483,0.6112935735681129,0.17037258388127063,3.0
1.7549999999999846,0.7853981633974483,0.6075875203131131,0.1741045898293354,3.0
1.7599999999999845,0.7853981633974483,0.6039088583991432,0.17781064308433514,3.0
1.7649999999999844,0.7853981633974483,0.6002590163837813,0.18148930499830507,3.0
1.7699999999999843,0.7853981633974483,0.596639412071685,0.18513914701366696,3.0
1.7749999999999841,0.7853981633974483,0.5930514518534948,0.18875875132576325,3.0
1.779999999999984,0.7853981633974483,0.5894965300466727,0.19234671154395344,3.0
1.784999999999984,0.7853981633974483,0.5859760282387764,0.1959016333507756,3.0
1.7899999999999838,0.7853981633974483,0.5824913146336709,0.1994221351586719,3.0
1.7949999999999837,0.7853981633974483,0.5790437434011779,0.2029068487637774,3.0
1.7999999999999836,0.7853981633974483,0.5756346540306668,0.20635441999627036,3.0
1.8049999999999835,0.7853981633974483,0.5722653706890865,0.20976350936678145,3.0
1.8099999999999834,0.7853981633974483,0.5689372015839386,0.21313279270836183,3.0
1.8149999999999833,0.7853981633974483,0.5656514383316898,0.2164609618135097,3.0
1.8199999999999832,0.7853981633974483,0.5624093553321166,0.21974672506575843,3.0
1.824999999999983,0.7853981633974483,0.5592122091490741,0.22298880806533172,3.0
1.829999999999983,0.7853981633974483,0.5560612378981773,0.22618595424837418,3.0
1.8349999999999829,0.7853981633974483,0.5529576606418748,0.22933692549927098,3.0
1.8399999999999828,0.7853981633974483,0.5499026767923939,0.23244050275557349,3.0
1.8449999999999827,0.7853981633974483,0.5468974655230272,0.23549548660505437,3.0
1.8499999999999825,0.7853981633974483,0.5439431851882255,0.23850069787442107,3.0
1.8549999999999824,0.7853981633974483,0.541040972752955,0.2414549782092228,3.0
1.8599999999999823,0.7853981633974483,0.5381919432317689,0.24435719064449324,3.0
1.8649999999999822,0.7853981633974483,0.5353971891380341,0.2472062201656794,3.0
1.8699999999999821,0.7853981633974483,0.5326577799437486,0.25000097425941414,3.0
1.874999999999982,0.7853981633974483,0.529974761550372,0.25274038345369965,3.0
1.879999999999982,0.7853981633974483,0.5273491557710854,0.25542340184707624,3.0
1.8849999999999818,0.7853981633974483,0.5247819598248847,0.25804900762636285,3.0
1.8899999999999817,0.7853981633974483,0.5222741458429029,0.26061620357256354,3.0
1.8949999999999816,0.7853981633974483,0.5198266603873444,0.2631240175545454,3.0
1.8999999999999815,0.7853981633974483,0.5174404239834053,0.2655715030101039,3.0
1.9049999999999814,0.7853981633974483,0.5151163306645403,0.267957739414043,3.0
1.9099999999999813,0.7853981633974483,0.5128552475314268,0.27028183273290796,3.0
1.9149999999999812,0.7853981633974483,0.5106580143249626,0.27254291586602153,3.0
1.919999999999981,0.7853981633974483,0.5085254430136255,0.2747401490724857,3.0
1.924999999999981,0.7853981633974483,0.5064583173955035,0.2768727203838228,3.0
